query	runtime_s	answers	engine	benchmark	subset	querytype
Q11	900.0	6572	nLDE	nLDE	Q11Q20	Q1
Q12	13.428944826099999	11002	nLDE	nLDE	Q11Q20	Q1
Q13	164.15215683	24325	nLDE	nLDE	Q11Q20	Q1
Q14	339.163791895	26570	nLDE	nLDE	Q11Q20	Q1
Q15	12.0982630253	26757	nLDE	nLDE	Q11Q20	Q1
Q16	423.43211817699995	30589	nLDE	nLDE	Q11Q20	Q1
Q17	8.89062094688	33485	nLDE	nLDE	Q11Q20	Q1
Q18	900.0	9675728	nLDE	nLDE	Q11Q20	Q1
Q19	46.368076086	64	nLDE	nLDE	Q11Q20	Q1
Q20	46.1602928638	1688	nLDE	nLDE	Q11Q20	Q2
Q11	900.0	6567	nLDE	nLDE	Q11Q20	Q1
Q12	13.5183119774	11002	nLDE	nLDE	Q11Q20	Q1
Q13	163.417035103	24325	nLDE	nLDE	Q11Q20	Q1
Q14	339.860616922	26570	nLDE	nLDE	Q11Q20	Q1
Q15	12.1278219223	26757	nLDE	nLDE	Q11Q20	Q1
Q16	442.443060875	30589	nLDE	nLDE	Q11Q20	Q1
Q17	15.4757227898	33485	nLDE	nLDE	Q11Q20	Q1
Q18	900.0	9482749	nLDE	nLDE	Q11Q20	Q1
Q19	46.248707056	64	nLDE	nLDE	Q11Q20	Q1
Q20	46.059229135500004	1688	nLDE	nLDE	Q11Q20	Q2
Q11	900.0	6574	nLDE	nLDE	Q11Q20	Q1
Q12	13.2652039528	11002	nLDE	nLDE	Q11Q20	Q1
Q13	163.572949886	24325	nLDE	nLDE	Q11Q20	Q1
Q14	337.325438023	26570	nLDE	nLDE	Q11Q20	Q1
Q15	9.12110090256	26757	nLDE	nLDE	Q11Q20	Q1
Q16	639.184377909	30589	nLDE	nLDE	Q11Q20	Q1
Q17	8.217525005339999	33485	nLDE	nLDE	Q11Q20	Q1
Q18	900.0	9522880	nLDE	nLDE	Q11Q20	Q1
Q19	46.3586149216	64	nLDE	nLDE	Q11Q20	Q1
Q20	45.9179348946	1688	nLDE	nLDE	Q11Q20	Q2
